date,model,rebalance_number,decision_date,effective_start_date,segment_end_date,rebalance_flag,gross_portfolio_return,transaction_cost,net_portfolio_return,cash_weight_start,risky_weight_sum_start,turnover,portfolio_scaler,ex_ante_portfolio_vol,target_portfolio_vol,equity_curve,running_peak,drawdown,portfolio_log_return,realized_vol_21d
2023-12-29,EWMA,1,2023-12-28,2023-12-29,2024-01-30,1,-0.0025668244714234763,0.0007679076893232534,-0.0033347321607467297,0.23209231067674663,0.7679076893232534,0.7679076893232534,1.0,0.06950718430686922,0.1,0.9966652678392532,0.9966652678392532,0.0,-0.0033403047722654973,
2024-01-02,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,-0.003696849294854279,0.0,-0.003696849294854279,0.23268958399519085,0.7673104160048092,0.0,1.0,0.06950718430686922,0.1,0.9929807465466359,0.9966652678392532,-0.003696849294854254,-0.003703699530278772,
2024-01-03,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,-0.0032004465384405318,0.0,-0.0032004465384405318,0.23355299421717368,0.7664470057828262,0.0,1.0,0.06950718430686922,0.1,0.9898027647536126,0.9966652678392532,-0.006885464264765995,-0.0032055789209994687,
2024-01-04,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,-0.0025962039468653,0.0,-0.0025962039468653,0.23430286802007527,0.765697131979925,0.0,1.0,0.06950718430686922,0.1,0.987233034909141,0.9966652678392532,-0.009463792142131222,-0.0025995799287564223,
2024-01-05,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,7.214841544336682e-05,0.0,7.214841544336682e-05,0.23491274942730744,0.7650872505726927,0.0,1.0,0.06950718430686922,0.1,0.987304262208283,0.9966652678392532,-0.009392326524295003,7.214581287162152e-05,
2024-01-08,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,0.00531238007408698,0.0,0.00531238007408698,0.23489580206739394,0.7651041979326062,0.0,1.0,0.06950718430686922,0.1,0.9925491976978996,0.9966652678392532,-0.004129842058484878,0.005298319159027968,
2024-01-09,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,-0.00196010979255487,0.0,-0.00196010979255487,0.23365454034305558,0.7663454596569446,0.0,1.0,0.06950718430686922,0.1,0.9906036922958995,0.9966652678392532,-0.006081856907179217,-0.0019620333217175365,
2024-01-10,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,0.0009212401792882732,0.0,0.0009212401792882732,0.23411342836656546,0.7658865716334345,0.0,1.0,0.06950718430686922,0.1,0.9915162762189937,0.9966652678392532,-0.00516621957883856,0.0009208160979881424,
2024-01-11,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,0.0015098622635060562,0.0,0.0015098622635060562,0.2338979521751684,0.7661020478248314,0.0,1.0,0.06950718430686922,0.1,0.9930133292281089,0.9966652678392532,-0.0036641575953194616,0.0015087235675173129,
2024-01-12,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,0.0016057143484018773,0.0,0.0016057143484018773,0.2335453308932347,0.7664546691067653,0.0,1.0,0.06950718430686922,0.1,0.9946078249790048,0.9966652678392532,-0.0020643268373432555,0.0016044265674721194,
2024-01-16,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,-0.007164435853308501,0.0,-0.007164435853308501,0.23317092499334277,0.7668290750066572,0.0,1.0,0.06950718430686922,0.1,0.9874820210177441,0.9966652678392532,-0.009213972953445282,-0.0071902236677709105,
2024-01-17,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,-0.004175657738372382,0.0,-0.004175657738372382,0.23485351795767434,0.7651464820423255,0.0,1.0,0.06950718430686922,0.1,0.9833586340751778,0.9966652678392532,-0.013351156294353461,-0.004184400142492116,
