model,regime_label,n_days,annualized_return,annualized_volatility,sharpe,max_drawdown,calmar,mean_realized_vol_21d,max_realized_vol_21d
CAUSAL_XGBOOST,HIGH_VIX,231,-0.06557386541092025,0.06729019195984562,-1.6192948245766396,-0.09291485969879176,-0.7057414241758033,0.06102443981967327,0.1295075327406583
EWMA,HIGH_VIX,231,-0.07909466231833329,0.08073020814987318,-1.5169098874353268,-0.10952754040978474,-0.7221440563935762,0.06998571906797993,0.1774820075416581
XGBOOST,HIGH_VIX,231,-0.06954252502231961,0.06983792549519623,-1.6194144707901155,-0.09802965363895111,-0.7094029453419142,0.06267163308376,0.1334500022629403
CAUSAL_XGBOOST,LOW_VIX,268,0.2389640677964875,0.05279309275660173,3.1943171592908954,-0.017062075723125902,14.005568353714201,0.05549268615970931,0.0929732105752872
EWMA,LOW_VIX,268,0.25339087385333414,0.05630453608142138,3.204744577821314,-0.017485092083672993,14.491823814296195,0.0592745220513186,0.1062703100923156
XGBOOST,LOW_VIX,268,0.23016975481126778,0.05119225292697781,3.1533508723794186,-0.015632012866237832,14.724255716830337,0.05415453734499145,0.1019771611826831
