model,ticker,causal_rmse,causal_mae,causal_n_obs,feature_count,xgboost_rmse,xgboost_mae,xgboost_n_obs,causal_minus_xgboost_rmse,causal_minus_xgboost_mae,rmse_improves_vs_xgboost,mae_improves_vs_xgboost,ewma_rmse,ewma_mae,ewma_n_obs,causal_minus_ewma_rmse,causal_minus_ewma_mae,rmse_improves_vs_ewma,mae_improves_vs_ewma
CAUSAL_XGBOOST,SPY,0.09816046772011054,0.060864831817555615,500,74,0.0891747538327314,0.0581655024319497,500,0.008985713887379149,0.0026993293856059156,False,False,0.0992872063672756,0.0640594590159585,500,-0.0011267386471650598,-0.003194627198402883,True,True
CAUSAL_XGBOOST,QQQ,0.10036837837044496,0.06631617984991801,500,74,0.0950968962835789,0.0678222131132372,500,0.005271482086866064,-0.0015060332633191897,False,True,0.1081773532330637,0.0744711381153725,500,-0.007808974862618737,-0.008154958265454482,True,True
CAUSAL_XGBOOST,IWM,0.09261469073309139,0.054302922335777194,500,74,0.0816875287612231,0.058732491631681,500,0.010927161971868299,-0.004429569295903803,False,True,0.0839085978214265,0.0629487370115423,500,0.008706092911664895,-0.008645814675765105,False,True
CAUSAL_XGBOOST,EFA,0.08657738041855302,0.04717337545470213,500,74,0.0681895630929636,0.0447964341760107,500,0.018387817325589417,0.0023769412786914246,False,False,0.0727641254712604,0.0430867751235949,500,0.013813254947292616,0.004086600331107228,False,False
CAUSAL_XGBOOST,EEM,0.08099480521849396,0.052076933875647824,500,74,0.0686258170547248,0.0525727843762377,500,0.012368988163769162,-0.0004958505005898742,False,True,0.0716342457152361,0.0511921814581956,500,0.009360559503257856,0.0008847524174522212,False,False
CAUSAL_XGBOOST,XLK,0.118668568292851,0.07437665941369909,500,74,0.1080323840390696,0.074889470861709,500,0.010636184253781392,-0.0005128114480099089,False,True,0.1204980164194646,0.0827691164323464,500,-0.001829448126613606,-0.008392457018647312,True,True
CAUSAL_XGBOOST,XLF,0.11132392759330031,0.0641743377554344,500,74,0.088278838620083,0.0639429969102842,500,0.023045088973217318,0.00023134084515019637,False,False,0.0828696016078463,0.0559677901423503,500,0.028454325985454013,0.008206547613084092,False,False
CAUSAL_XGBOOST,XLE,0.13784188267853448,0.07447944079352418,500,74,0.1092248181420821,0.0702051006526862,500,0.02861706453645238,0.004274340140837982,False,False,0.1022117615936543,0.0614261707922122,500,0.03563012108488017,0.013053270001311984,False,False
CAUSAL_XGBOOST,XLV,0.05940777644799776,0.04115384996614553,500,74,0.0561412763543315,0.0424901323171007,500,0.003266500093666261,-0.0013362823509551688,False,True,0.0533914333518656,0.0357580225868206,500,0.006016343096132158,0.0053958273793249314,False,False
CAUSAL_XGBOOST,TLT,0.05441216022730106,0.03896667763911354,500,74,0.0426639040182306,0.035861848605605,500,0.011748256209070461,0.0031048290335085396,False,False,0.0320507840045749,0.0262358806049755,500,0.02236137622272616,0.012730797034138038,False,False
CAUSAL_XGBOOST,LQD,0.04212242698437671,0.022042081104452684,500,74,0.0333193496471354,0.0202652869735342,500,0.00880307733724131,0.0017767941309184826,False,False,0.02130665607584,0.0151172968608955,500,0.02081577090853671,0.006924784243557185,False,False
CAUSAL_XGBOOST,HYG,0.044356209739824466,0.025160761012504158,500,74,0.0333167345664122,0.0206318254283917,500,0.011039475173412264,0.004528935584112458,False,False,0.0270336023714413,0.0175352413635415,500,0.017322607368383165,0.007625519648962659,False,False
CAUSAL_XGBOOST,GLD,0.06379944942220825,0.044103237533611395,500,74,0.0634275335421485,0.045629650643608,500,0.00037191588005974774,-0.0015264131099966063,False,True,0.0682659869360704,0.0495579351349208,500,-0.004466537513862154,-0.0054546976013094065,True,True
CAUSAL_XGBOOST,DBC,0.04491492428278974,0.03593312544478198,500,74,0.0402127601203216,0.0313923693291953,500,0.004702164162468138,0.004540756115586679,False,False,0.0481299736068806,0.0361936413652462,500,-0.003215049324090863,-0.00026051592046422156,True,True
CAUSAL_XGBOOST,AGGREGATE_EQUAL_WEIGHT,0.08111164629499126,0.05008031528549056,500,74,0.0698137255767883,0.0490998648179451,500,0.011297920718202958,0.0009804504675454614,False,False,0.0708235246125643,0.0483085275719981,500,0.01028812168242696,0.0017717877134924634,False,False
