stage_number,stage_label,model_label,status,rmse,mae,sharpe,max_drawdown,calmar,feature_importance_entropy,factor_exposure_entropy,notes
1,STAGE_1_UNCONSTRAINED_BASELINE,XGBOOST,EXECUTED,0.06981372557678833,0.049099864817945094,0.5665318186293516,-0.0603076158730665,1.3431560534754772,0.8323830799464668,,FULL_NON_SENTIMENT_FEATURE_SET_UNCONSTRAINED_XGBOOST
2,STAGE_2_H3_MATCHED_WINDOW_SENTIMENT,XGBOOST_H3_WITH_SENT,EXECUTED_MATCHED_WINDOW_FORECAST_ONLY,0.1001632915998349,0.075134813017156,,,,,,POST_2020_MATCHED_WINDOW_SENTIMENT_TEST_NO_STAGE_2_PORTFOLIO_ARTIFACT
3,STAGE_3_DAG_CONSTRAINED,CAUSAL_XGBOOST,EXECUTED,0.08111164629499126,0.050080315285490555,0.6671281545826749,-0.0582681143439673,1.498012283399358,0.8476363411369615,,VOL_PLUS_MACRO_PLUS_REGIME_PREFIX_GATING_AT_RISK_STAGE
4,STAGE_4_FULL_FOUR_STAGE_ABLATION,FULL_PIPELINE_FUTURE_EXTENSION,DEFERRED_NOT_EXECUTED,,,,,,,,TRUE_INCREMENTAL_STAGE_REQUIRES_A_FUTURE_PIPELINE_RERUN
