date,model,rebalance_number,decision_date,effective_start_date,segment_end_date,rebalance_flag,gross_portfolio_return,transaction_cost,net_portfolio_return,cash_weight_start,risky_weight_sum_start,turnover,portfolio_scaler,ex_ante_portfolio_vol,target_portfolio_vol,equity_curve,running_peak,drawdown,portfolio_log_return,realized_vol_21d
2023-12-29,EWMA,1,2023-12-28,2023-12-29,2024-01-30,1,-0.0025668244714234763,0.0007679076893232533,-0.0033347321607467297,0.23209231067674674,0.7679076893232533,0.7679076893232533,1.0,0.06950718430686924,0.1,0.9966652678392532,0.9966652678392532,0.0,-0.0033403047722654973,
2024-01-02,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,-0.0036968492948542785,0.0,-0.0036968492948542785,0.23268958399519096,0.7673104160048092,0.0,1.0,0.06950718430686924,0.1,0.9929807465466359,0.9966652678392532,-0.003696849294854254,-0.0037036995302787714,
2024-01-03,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,-0.003200446538440532,0.0,-0.003200446538440532,0.2335529942171738,0.7664470057828262,0.0,1.0,0.06950718430686924,0.1,0.9898027647536126,0.9966652678392532,-0.006885464264765995,-0.003205578920999469,
2024-01-04,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,-0.002596203946865299,0.0,-0.002596203946865299,0.23430286802007536,0.7656971319799247,0.0,1.0,0.06950718430686924,0.1,0.987233034909141,0.9966652678392532,-0.009463792142131222,-0.002599579928756421,
2024-01-05,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,7.21484154433666e-05,0.0,7.21484154433666e-05,0.2349127494273075,0.7650872505726926,0.0,1.0,0.06950718430686924,0.1,0.987304262208283,0.9966652678392532,-0.009392326524295003,7.21458128716213e-05,
2024-01-08,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,0.005312380074086981,0.0,0.005312380074086981,0.23489580206739405,0.765104197932606,0.0,1.0,0.06950718430686924,0.1,0.9925491976978996,0.9966652678392532,-0.004129842058484878,0.005298319159027969,
2024-01-09,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,-0.00196010979255487,0.0,-0.00196010979255487,0.23365454034305563,0.7663454596569444,0.0,1.0,0.06950718430686924,0.1,0.9906036922958995,0.9966652678392532,-0.006081856907179217,-0.0019620333217175365,
2024-01-10,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,0.0009212401792882734,0.0,0.0009212401792882734,0.23411342836656557,0.7658865716334344,0.0,1.0,0.06950718430686924,0.1,0.9915162762189937,0.9966652678392532,-0.00516621957883856,0.0009208160979881426,
2024-01-11,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,0.001509862263506056,0.0,0.001509862263506056,0.2338979521751685,0.7661020478248314,0.0,1.0,0.06950718430686924,0.1,0.9930133292281089,0.9966652678392532,-0.0036641575953194616,0.0015087235675173127,
2024-01-12,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,0.001605714348401877,0.0,0.001605714348401877,0.23354533089323481,0.7664546691067652,0.0,1.0,0.06950718430686924,0.1,0.9946078249790048,0.9966652678392532,-0.0020643268373432555,0.0016044265674721192,
2024-01-16,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,-0.007164435853308499,0.0,-0.007164435853308499,0.23317092499334283,0.7668290750066571,0.0,1.0,0.06950718430686924,0.1,0.9874820210177441,0.9966652678392532,-0.009213972953445282,-0.007190223667770908,
2024-01-17,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,-0.004175657738372382,0.0,-0.004175657738372382,0.23485351795767445,0.7651464820423256,0.0,1.0,0.06950718430686924,0.1,0.9833586340751778,0.9966652678392532,-0.013351156294353461,-0.004184400142492116,
2024-01-18,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,0.003860465823685025,0.0,0.003860465823685025,0.23583829797160416,0.764161702028396,0.0,1.0,0.06950718430686924,0.1,0.9871548564744504,0.9966652678392532,-0.009542232153249564,0.0038530333479018164,
2024-01-19,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,0.005383189974822029,0.0,0.005383189974822029,0.2349313535104649,0.765068646489535,0.0,1.0,0.06950718430686924,0.1,0.9924688986014206,0.9966652678392532,-0.004210409826892247,0.005368752397971842,
2024-01-22,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,0.0020018500209537547,0.0,0.0020018500209537547,0.23367344496415177,0.7663265550358482,0.0,1.0,0.06950718430686924,0.1,0.9944556724868818,0.9966652678392532,-0.00221698841493867,0.001999848989265754,
2024-01-23,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,0.0006703387739869283,0.0,0.0006703387739869283,0.23320660032640186,0.7667933996735984,0.0,1.0,0.06950718430686924,0.1,0.9951222946831612,0.9966652678392532,-0.0015481357742477275,0.0006701141973070063,
2024-01-24,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,0.0011263069699463915,0.0,0.0011263069699463915,0.23305037762198952,0.7669496223780106,0.0,1.0,0.06950718430686924,0.1,0.9962431078596118,0.9966652678392532,-0.0004235724804142471,0.0011256731621145943,
2024-01-25,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,0.00416719742911465,0.0,0.00416719742911465,0.23278818666482776,0.7672118133351724,0.0,1.0,0.06950718430686924,0.1,1.0003946495774576,1.0003946495774576,0.0,0.004158538708638178,
2024-01-26,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,-4.3878330757846367e-05,0.0,-4.3878330757846367e-05,0.23182213804714583,0.7681778619528543,0.0,1.0,0.06950718430686924,0.1,1.000350753930135,1.0003946495774576,-4.387833075780723e-05,-4.3879293439962106e-05,
2024-01-29,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,0.0038540038412512617,0.0,0.0038540038412512617,0.2318323104619446,0.7681676895380555,0.0,1.0,0.06950718430686924,0.1,1.0042061095783805,1.0042061095783805,0.0,0.003846596195078124,
2024-01-30,EWMA,1,2023-12-28,2023-12-29,2024-01-30,0,0.00048426589944499103,0.0,0.00048426589944499103,0.23094225811207342,0.7690577418879264,0.0,1.0,0.06950718430686924,0.1,1.0046924123532637,1.0046924123532637,0.0,0.00048414868055618866,0.05376396261658621
2024-01-31,EWMA,2,2024-01-30,2024-01-31,2024-02-29,1,-0.006362158125677467,7.985151267942129e-05,-0.0064420096383568885,0.16809175738444326,0.8319082426155567,0.07985151267942128,1.0,0.06650653517528991,0.1,0.9982201741493,1.0046924123532637,-0.006442009638356838,-0.006462848928597599,0.05734065688919875
2024-02-01,EWMA,2,2024-01-30,2024-01-31,2024-02-29,0,0.006742632899988572,0.0,0.006742632899988572,0.16916803114841902,0.830831968851581,0.0,1.0,0.06650653517528991,0.1,1.0049508063369514,1.0049508063369514,0.0,0.00672000301715265,0.05999513893387963
2024-02-02,EWMA,2,2024-01-30,2024-01-31,2024-02-29,0,-0.0019352500378416876,0.0,-0.0019352500378416876,0.1680350326091976,0.8319649673908026,0.0,1.0,0.06650653517528991,0.1,1.0030059752509588,1.0049508063369514,-0.0019352500378416737,-0.0019371250536696694,0.059144050454417715
2024-02-05,EWMA,2,2024-01-30,2024-01-31,2024-02-29,0,-0.003471985143170354,0.0,-0.003471985143170354,0.16836085295625222,0.8316391470437479,0.0,1.0,0.06650653517528991,0.1,0.9995235534063763,1.0049508063369514,-0.005400516021632384,-0.003478026471241838,0.05982301938976412
2024-02-06,EWMA,2,2024-01-30,2024-01-31,2024-02-29,0,0.0044999701331931395,0.0,0.0044999701331931395,0.1689474359438259,0.8310525640561741,0.0,1.0,0.06650653517528991,0.1,1.0040213795441282,1.0049508063369514,-0.0009248480492403122,0.004489875539843287,0.06128157033306451
2024-02-07,EWMA,2,2024-01-30,2024-01-31,2024-02-29,0,0.0023559259173597984,0.0,0.0023559259173597984,0.16819058334210213,0.8318094166578978,0.0,1.0,0.06650653517528991,0.1,1.0063867795337795,1.0063867795337795,0.0,0.002353155074975348,0.059376996691074456
2024-02-08,EWMA,2,2024-01-30,2024-01-31,2024-02-29,0,-7.682801474788936e-05,0.0,-7.682801474788936e-05,0.16779527011642445,0.8322047298835754,0.0,1.0,0.06650653517528991,0.1,1.0063094608354395,1.0063867795337795,-7.682801474784284e-05,-7.683096617098336e-05,0.058683421386710594
2024-02-09,EWMA,2,2024-01-30,2024-01-31,2024-02-29,0,0.001993275166626124,0.0,0.001993275166626124,0.16780816248440658,0.8321918375155931,0.0,1.0,0.06650653517528991,0.1,1.0083153124936637,1.0083153124936637,0.0,0.001991291229598669,0.05883985124931739
2024-02-12,EWMA,2,2024-01-30,2024-01-31,2024-02-29,0,0.0010066399650875005,0.0,0.0010066399650875005,0.16747434004135506,0.8325256599586448,0.0,1.0,0.06650653517528991,0.1,1.0093303229846293,1.0093303229846293,0.0,0.0010061336428388301,0.05878931529092794
