model,start_date,end_date,n_daily_obs,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,final_equity,total_transaction_cost,mean_cash_weight_start,mean_risky_weight_sum_start
CAUSAL_XGBOOST,2023-12-29,2025-12-31,499,0.08728635101778126,0.060532609616918406,0.667128154582675,-0.05826811434396717,1.4980122833993599,1.180230307061505,0.004129732399263298,0.2415839858598644,0.7584160141401357
EWMA,2023-12-29,2025-12-31,499,0.08671067300743163,0.06930836151535903,0.5830065779403535,-0.07383860047452029,1.174327146644026,1.1789932499033997,0.0030042239847964513,0.18907057881967002,0.81092942118033
XGBOOST,2023-12-29,2025-12-31,499,0.0810025393305831,0.061112279916570596,0.5665318186293518,-0.06030761587306632,1.343156053475482,1.1667619652413481,0.0038851506179236953,0.2459972812016164,0.7540027187983835
