rank,model,ticker,feature,importance_mean,importance_std,n_repeats,scoring
90,BASELINE_MLP,SPY,VOL__XLF__ewma_vol__span21,0.01348081787337715,0.0007559462561092974,5,neg_root_mean_squared_error
91,BASELINE_MLP,SPY,VAL__QQQ__hml_beta__63d,0.013461414342753952,0.00011368209920430163,5,neg_root_mean_squared_error
92,BASELINE_MLP,SPY,MOM__EEM__cum_ret__63d,0.013453377701573527,0.00045940738912239376,5,neg_root_mean_squared_error
93,BASELINE_MLP,SPY,MOM__EEM__cum_ret__21d,0.01336676370872738,0.000314434815303651,5,neg_root_mean_squared_error
94,BASELINE_MLP,SPY,VOL__XLE__ewma_vol__span63,0.013332643923792659,0.0006142430331788363,5,neg_root_mean_squared_error
95,BASELINE_MLP,SPY,MOM__GLD__cum_ret__5d,0.013286857088001943,0.0010474957307721573,5,neg_root_mean_squared_error
96,BASELINE_MLP,SPY,VOL__TLT__ewma_vol__span21,0.013270324278396955,0.0007119252387912992,5,neg_root_mean_squared_error
97,BASELINE_MLP,SPY,VOL__DBC__ewma_vol__span63,0.01322240819330503,0.0006088315010886038,5,neg_root_mean_squared_error
98,BASELINE_MLP,SPY,VAL__XLF__hml_beta__63d,0.013189267492537553,0.000940798980740243,5,neg_root_mean_squared_error
99,BASELINE_MLP,SPY,MOM__EFA__cum_ret__63d,0.013183195682431014,0.00043614865298800576,5,neg_root_mean_squared_error
100,BASELINE_MLP,SPY,MOM__XLK__cum_ret__63d,0.013071965570037352,0.00033118594245246563,5,neg_root_mean_squared_error
101,BASELINE_MLP,SPY,MOM__HYG__cum_ret__5d,0.013070836468736047,0.0005241809043985232,5,neg_root_mean_squared_error
102,BASELINE_MLP,SPY,VOL__XLE__rvol__63d,0.013046724541945071,0.0007585865998556747,5,neg_root_mean_squared_error
103,BASELINE_MLP,SPY,MOM__LQD__cum_ret__5d,0.013036395711761706,0.001119311317685403,5,neg_root_mean_squared_error
104,BASELINE_MLP,SPY,MOM__LQD__cum_ret__63d,0.012922247430310962,0.00012508326536276505,5,neg_root_mean_squared_error
105,BASELINE_MLP,SPY,MOM__DBC__cum_ret__10d,0.012831016151904023,0.0005041414317881426,5,neg_root_mean_squared_error
106,BASELINE_MLP,SPY,MOM__XLE__cum_ret__63d,0.012830734219589818,0.0004383341076967078,5,neg_root_mean_squared_error
107,BASELINE_MLP,SPY,MOM__HYG__cum_ret__21d,0.012817645432205396,0.0010026363940726468,5,neg_root_mean_squared_error
108,BASELINE_MLP,SPY,REGIME__vix_high,0.012796760074404834,0.0004930139983818678,5,neg_root_mean_squared_error
109,BASELINE_MLP,SPY,MOM__SPY__cum_ret__63d,0.012613680121509785,0.0005424594320557637,5,neg_root_mean_squared_error
110,BASELINE_MLP,SPY,VOL__XLE__ewma_vol__span21,0.012422442476754923,0.00047267008930857834,5,neg_root_mean_squared_error
111,BASELINE_MLP,SPY,VOL__XLE__rvol__10d,0.012358212499918218,0.001245605046784629,5,neg_root_mean_squared_error
112,BASELINE_MLP,SPY,VOL__XLV__rvol__21d,0.012341057702784614,0.0007812625364165356,5,neg_root_mean_squared_error
113,BASELINE_MLP,SPY,VOL__LQD__rvol__63d,0.012123054485981489,0.0005182252094164188,5,neg_root_mean_squared_error
114,BASELINE_MLP,SPY,VOL__EEM__rvol__10d,0.012099403026354679,0.00016050632243907103,5,neg_root_mean_squared_error
115,BASELINE_MLP,SPY,VOL__XLE__rvol__21d,0.011982132019887782,0.0004910400058049923,5,neg_root_mean_squared_error
116,BASELINE_MLP,SPY,VAL__TLT__hml_beta__63d,0.011968703086826609,0.0007294335434676949,5,neg_root_mean_squared_error
117,BASELINE_MLP,SPY,MOM__XLE__cum_ret__21d,0.011931781386811193,0.00033655787697071325,5,neg_root_mean_squared_error
118,BASELINE_MLP,SPY,VAL__XLV__hml_beta__63d,0.011902730054443124,0.00042100925278885855,5,neg_root_mean_squared_error
119,BASELINE_MLP,SPY,VAL__XLK__hml_beta__63d,0.011895599867465636,0.0003371947079513475,5,neg_root_mean_squared_error
120,BASELINE_MLP,SPY,VOL__DBC__rvol__63d,0.011796163832027879,0.0006663413265018724,5,neg_root_mean_squared_error
121,BASELINE_MLP,SPY,VOL__HYG__ewma_vol__span21,0.011792480298362292,0.0004976638763079112,5,neg_root_mean_squared_error
122,BASELINE_MLP,SPY,MOM__LQD__cum_ret__10d,0.01172148814781821,0.0003342719756143435,5,neg_root_mean_squared_error
123,BASELINE_MLP,SPY,VOL__IWM__ewma_vol__span21,0.011481179073796427,0.0005733207367671282,5,neg_root_mean_squared_error
124,BASELINE_MLP,SPY,MOM__TLT__cum_ret__5d,0.011478805828183416,0.00044052812580044204,5,neg_root_mean_squared_error
125,BASELINE_MLP,SPY,MOM__XLV__cum_ret__5d,0.011354443613823286,0.000611295228558102,5,neg_root_mean_squared_error
126,BASELINE_MLP,SPY,VOL__TLT__rvol__21d,0.01130605257433528,0.0006040178583888888,5,neg_root_mean_squared_error
127,BASELINE_MLP,SPY,MOM__EFA__cum_ret__5d,0.011256893559972322,0.0013822408967398014,5,neg_root_mean_squared_error
