ticker,model_variant,feature,dag_prefix,gain,gain_share,rank_within_ticker,model_path
SPY,CAUSAL_CONSTRAINED,VOL__XLE__rvol__63d,VOL,0.018439291045069695,0.0059725289183347255,34,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__XLV__ewma_vol__span63,VOL,0.01779751665890217,0.005764656713754661,35,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__EFA__rvol__21d,VOL,0.01753191091120243,0.005678626399186968,36,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__LQD__ewma_vol__span63,VOL,0.01688401587307453,0.005468771701313478,37,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__DBC__rvol__10d,VOL,0.016120268031954765,0.005221392013219494,38,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__XLF__ewma_vol__span63,VOL,0.016042573377490044,0.005196226535357229,39,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__SPY__rvol__10d,VOL,0.01538186427205801,0.004982221331515349,40,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__IWM__ewma_vol__span63,VOL,0.015109279192984104,0.00489393039541069,41,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__HYG__ewma_vol__span63,VOL,0.014699640683829784,0.004761247537050912,42,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__GLD__rvol__21d,VOL,0.014298212714493275,0.004631224091484021,43,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__XLV__rvol__21d,VOL,0.014236916787922382,0.004611370199426785,44,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__SPY__ewma_vol__span63,VOL,0.014201654121279716,0.0045999485403322915,45,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__GLD__ewma_vol__span63,VOL,0.013684427365660667,0.004432417600681702,46,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__LQD__rvol__10d,VOL,0.012798450887203217,0.004145447774910319,47,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__EEM__rvol__63d,VOL,0.012767467647790909,0.004135412232170558,48,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__XLE__ewma_vol__span63,VOL,0.012621988542377949,0.004088291214232902,49,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__XLF__rvol__63d,VOL,0.01243599783629179,0.004028048395356301,50,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__HYG__rvol__63d,VOL,0.012237819842994213,0.0039638580860296415,51,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__EFA__rvol__63d,VOL,0.012222614139318466,0.0039589329235217635,52,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__IWM__rvol__10d,VOL,0.012110820971429348,0.003922722858478697,53,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__EEM__ewma_vol__span63,VOL,0.011176039464771748,0.0036199449714552257,54,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__EFA__ewma_vol__span63,VOL,0.010976340621709824,0.003555262055380519,55,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__GLD__rvol__10d,VOL,0.010797055438160896,0.0034971911707267827,56,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__EEM__ewma_vol__span21,VOL,0.010526939295232296,0.0034096999287366813,57,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__SPY__rvol__21d,VOL,0.010040479712188244,0.0032521345472786723,58,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__HYG__rvol__21d,VOL,0.009504550136625767,0.003078545721091475,59,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__EFA__rvol__10d,VOL,0.009427625685930252,0.0030536297140073077,60,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__SPY__rvol__63d,VOL,0.009072124026715755,0.0029384819062643268,61,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__HYG__rvol__10d,VOL,0.00888422504067421,0.0028776209911068012,62,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__QQQ__ewma_vol__span63,VOL,0.007490995340049267,0.0024263506761838093,63,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__XLF__ewma_vol__span21,VOL,0.007013953756541014,0.002271835806507568,64,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__XLE__ewma_vol__span21,VOL,0.006489404942840338,0.0021019332353486224,65,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__GLD__ewma_vol__span21,VOL,0.006404391489923,0.0020743971817793585,66,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__EEM__rvol__10d,VOL,0.006243384908884764,0.0020222467786568813,67,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__EFA__ewma_vol__span21,VOL,0.005137104075402021,0.0016639198639384445,68,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__XLF__rvol__10d,VOL,0.004812764469534159,0.0015588655171811679,69,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__TLT__ewma_vol__span21,VOL,0.004005302209407091,0.0012973266278992889,70,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__HYG__ewma_vol__span21,VOL,0.0037010572850704193,0.0011987809948586306,71,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__IWM__ewma_vol__span21,VOL,0.003291766159236431,0.0010662106547578987,72,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
SPY,CAUSAL_CONSTRAINED,VOL__XLK__rvol__10d,VOL,0.0029876658227294683,0.000967711854048921,73,/content/riskml-capstone/reports/models/notebook04_xgb_causal_SPY.json
