model,n_rebalances,mean_turnover,median_turnover,max_turnover,total_turnover,total_transaction_cost,mean_transaction_cost
CAUSAL_XGBOOST,24,0.17207218330263743,0.13211307127085353,0.7041252484333225,4.129732399263299,0.004129732399263298,0.00017207218330263742
EWMA,24,0.1251759993665188,0.08900833677773747,0.7679076893232534,3.004223984796451,0.0030042239847964513,0.0001251759993665188
XGBOOST,24,0.16188127574682062,0.12182229467559245,0.6363334788365519,3.8851506179236948,0.0038851506179236953,0.00016188127574682064
