series_type,ticker,adf_stat,p_value,used_lag,n_obs,crit_1pct,crit_5pct,crit_10pct,stationary_at_5pct
returns_log,SPY,-16.060256817122347,5.649058710940599e-29,8,2487,-3.4329821119179256,-2.862702850392563,-2.5673890307492004,True
returns_log,QQQ,-16.528288089927575,2.0345629089022893e-29,8,2487,-3.4329821119179256,-2.862702850392563,-2.5673890307492004,True
returns_log,IWM,-16.25668580960586,3.600062466459185e-29,8,2487,-3.4329821119179256,-2.862702850392563,-2.5673890307492004,True
returns_log,EFA,-16.521248484032014,2.0632859082026598e-29,8,2487,-3.4329821119179256,-2.862702850392563,-2.5673890307492004,True
returns_log,EEM,-16.964787354823972,9.251595036482127e-30,8,2487,-3.4329821119179256,-2.862702850392563,-2.5673890307492004,True
returns_log,XLK,-16.689873125606976,1.4916397399411755e-29,8,2487,-3.4329821119179256,-2.862702850392563,-2.5673890307492004,True
returns_log,XLF,-15.690894532569656,1.4343032605562637e-28,8,2487,-3.4329821119179256,-2.862702850392563,-2.5673890307492004,True
returns_log,XLE,-10.03275804688215,1.569171542589591e-17,26,2469,-3.4330013210750745,-2.8627113331035243,-2.567393547066656,True
returns_log,XLV,-11.909037903342796,5.350587308125221e-22,22,2473,-3.432997028182592,-2.862709437378743,-2.5673925377546976,True
returns_log,TLT,-16.932699133106524,9.749881591646868e-30,8,2487,-3.4329821119179256,-2.862702850392563,-2.5673890307492004,True
returns_log,LQD,-13.81362150133421,8.144954135289243e-26,12,2483,-3.4329863565261474,-2.8627047248045723,-2.5673900287123606,True
returns_log,HYG,-14.071754586871439,2.931906891052298e-26,15,2480,-3.4329895489772104,-2.8627061345839557,-2.5673907792989072,True
returns_log,GLD,-50.203731001501275,0.0,0,2495,-3.4329736635735393,-2.8626991196096556,-2.5673870444295406,True
returns_log,DBC,-48.201061228879794,0.0,0,2495,-3.4329736635735393,-2.8626991196096556,-2.5673870444295406,True
target_fwd_vol_20d_ann,SPY,-4.940756020096148,2.9033635373078435e-05,23,2472,-3.4329981001019,-2.8627099107344347,-2.567392789776238,True
target_fwd_vol_20d_ann,QQQ,-5.281928333403377,5.9679008659676065e-06,26,2469,-3.4330013210750745,-2.8627113331035243,-2.567393547066656,True
target_fwd_vol_20d_ann,IWM,-4.91326891703322,3.285862184408112e-05,26,2469,-3.4330013210750745,-2.8627113331035243,-2.567393547066656,True
target_fwd_vol_20d_ann,EFA,-5.3273342864626105,4.805140056202956e-06,26,2469,-3.4330013210750745,-2.8627113331035243,-2.567393547066656,True
target_fwd_vol_20d_ann,EEM,-5.073581826714066,1.583904570552873e-05,23,2472,-3.4329981001019,-2.8627099107344347,-2.567392789776238,True
target_fwd_vol_20d_ann,XLK,-5.2999384619003145,5.477260438621971e-06,26,2469,-3.4330013210750745,-2.8627113331035243,-2.567393547066656,True
target_fwd_vol_20d_ann,XLF,-4.733745319262056,7.269073147090823e-05,23,2472,-3.4329981001019,-2.8627099107344347,-2.567392789776238,True
target_fwd_vol_20d_ann,XLE,-4.217130217348874,0.0006162612084293906,24,2471,-3.432999172889712,-2.862710384473485,-2.5673930420019127,True
target_fwd_vol_20d_ann,XLV,-5.769254177599785,5.440629933803433e-07,27,2468,-3.433002396474742,-2.862711807995448,-2.5673937999062226,True
target_fwd_vol_20d_ann,TLT,-4.532071774948374,0.0001720016616666152,24,2471,-3.432999172889712,-2.862710384473485,-2.5673930420019127,True
target_fwd_vol_20d_ann,LQD,-4.869138126977817,4.0033233101490083e-05,22,2473,-3.432997028182592,-2.862709437378743,-2.5673925377546976,True
target_fwd_vol_20d_ann,HYG,-4.790949337974071,5.659606818318096e-05,26,2469,-3.4330013210750745,-2.8627113331035243,-2.567393547066656,True
target_fwd_vol_20d_ann,GLD,-4.3293065320795705,0.0003950716830019933,23,2472,-3.4329981001019,-2.8627099107344347,-2.567392789776238,True
target_fwd_vol_20d_ann,DBC,-4.602447310193866,0.00012783464672181495,20,2475,-3.4329948869452735,-2.8627084918155745,-2.5673920343230283,True
