asset_class,ticker_count,mean_causal_minus_xgboost_rmse,mean_causal_minus_ewma_rmse,mean_causal_minus_xgboost_mae,mean_causal_minus_ewma_mae,rmse_wins_vs_xgboost,rmse_wins_vs_ewma
COMMODITY,2,0.002537040021263943,-0.0038407934189765083,0.0015071715027950364,-0.002857606760886814,0,2
US_EQUITY,3,0.008394785982037837,-7.654019937296715e-05,-0.0010787577245390256,-0.006665133379874157,0,2
FIXED_INCOME,3,0.010530269573241345,0.020166584833215345,0.0031368529161798268,0.00909370030888596,0,0
INTERNATIONAL_EQUITY,2,0.01537840274467929,0.011586907225275236,0.0009405453890507752,0.0024856763742797244,0,0
SECTOR_EQUITY,4,0.016391209464279338,0.017067835509963186,0.0006641467967557751,0.004565796993768424,0,1
