model,rebalance_number,decision_date,effective_start_date,segment_end_date,n_obs_total_segment,n_obs_regression,min_obs_pass,alpha,beta_mkt_rf,beta_smb,beta_hml,factor_exposure_entropy,factor_exposure_entropy_normalized,r_squared
CAUSAL_XGBOOST,1,2023-12-28,2023-12-29,2024-01-30,21,21,True,-0.0003864192542546073,0.44108885903459094,-0.004426465506988751,0.08523519015987703,0.4874125556414906,0.4436620276953207,0.792735889409267
CAUSAL_XGBOOST,2,2024-01-30,2024-01-31,2024-02-29,21,21,True,-0.00018664107271217794,0.38238237607146586,0.09505752142888342,0.058699598867188604,0.789938903720137,0.7190333768046692,0.8390929704315899
CAUSAL_XGBOOST,3,2024-02-29,2024-03-01,2024-04-01,21,21,True,0.0005308763093909377,0.402324851331523,0.10497654484379447,0.02632684216589959,0.6812622075302448,0.620111584912422,0.8360509956252054
CAUSAL_XGBOOST,4,2024-04-01,2024-04-02,2024-04-30,21,21,True,-7.618062356675015e-05,0.40733171331647566,0.14074020247881738,0.14700932305405176,0.9651249231293619,0.8784945636275562,0.8940011831447516
CAUSAL_XGBOOST,5,2024-04-30,2024-05-01,2024-05-30,21,21,True,-0.0002580408746064995,0.60615801384887,0.12499452174748331,0.14973740565439686,0.8355087645449626,0.760512851679351,0.9432634191571582
CAUSAL_XGBOOST,6,2024-05-30,2024-05-31,2024-07-01,21,21,True,-0.00022478138129226695,0.44689269332712245,0.05772803961146685,0.048507969419701605,0.6216059629162565,0.5658101309515238,0.5615959585780442
CAUSAL_XGBOOST,7,2024-07-01,2024-07-02,2024-07-31,21,21,True,6.379939603325058e-05,0.4789736570989313,0.04679805411042637,0.09680820745581327,0.6856757844632739,0.6241289957666004,0.8478505359205206
CAUSAL_XGBOOST,8,2024-07-31,2024-08-01,2024-08-29,21,21,True,0.00028919078095759773,0.3754013795981239,0.03553405525172969,0.062039194310348995,0.6442953273535945,0.5864628804896208,0.9330150610697052
CAUSAL_XGBOOST,9,2024-08-29,2024-08-30,2024-09-30,21,21,True,-1.2484796487953197e-05,0.37750874425319403,0.0654516201208091,0.06365406443477271,0.744207372861672,0.6774067435235988,0.8377516532325185
CAUSAL_XGBOOST,10,2024-09-30,2024-10-01,2024-10-30,21,21,True,-0.0005748624448626663,0.294260640614841,0.057634830273384514,0.044702216803658046,0.7477860598156479,0.6806642047689253,0.5810431381885094
