feature,gain
MOM__GLD__cum_ret__10d,0.004845563787966967
MOM__QQQ__cum_ret__5d,0.0048200348392128944
MOM__QQQ__cum_ret__21d,0.004773015156388283
VOL__EFA__rvol__10d,0.004680696874856949
MOM__HYG__cum_ret__5d,0.004227123223245144
MOM__EEM__cum_ret__10d,0.003926028497517109
VOL__IWM__rvol__21d,0.0038070303853601217
VAL__SPY__hml_beta__63d,0.003763982094824314
VOL__EFA__ewma_vol__span21,0.0036906686145812273
MOM__HYG__cum_ret__10d,0.003623071825131774
VOL__XLE__rvol__10d,0.003600654425099492
VOL__XLK__ewma_vol__span63,0.0035428537521511316
VOL__HYG__ewma_vol__span21,0.0034306319430470467
MOM__LQD__cum_ret__5d,0.0032863400410860777
VOL__XLK__rvol__10d,0.002682783640921116
MOM__IWM__cum_ret__5d,0.001948743243701756
VOL__TLT__ewma_vol__span21,0.0019420449389144778
MOM__XLF__cum_ret__5d,0.001882986631244421
ML__pca_ret_pc1__252d,0.0015873464290052652
MOM__XLE__cum_ret__5d,0.001467216177843511
ML__pca_ret_pc3__252d,0.0013290364295244217
VAL__ff_mkt_rf,0.0010957680642604828
VAL__ff_smb,0.0009633978479541838
ML__pca_ret_pc2__252d,0.000896248675417155
MOM__GLD__cum_ret__5d,0.0008860845118761063
VAL__ff_hml,0.0007940313080325723
