label,row_count,col_count,missing_rows,missing_fraction,first_missing_date,last_missing_date
ETF_RETURNS,2798,14,0,0.0,,
FF_FACTORS,2798,4,33,0.011794138670478913,2026-01-02,2026-02-19
MACRO_PANEL,2798,3,21,0.007505360972122945,2015-10-12,2026-02-19
SENTIMENT_PANEL,2798,1,2798,1.0,2015-01-05,2026-02-19
