model,rebalance_number,decision_date,effective_start_date,segment_end_date,ticker,forecast_vol,pre_trade_weight,raw_weight,capped_weight,final_weight,cash_weight,risky_weight_sum,portfolio_scaler,ex_ante_vol_before_scale,ex_ante_vol_after_scale,turnover,transaction_cost
EWMA,1,2023-12-28,2023-12-29,2024-01-30,DBC,0.1591120425540705,0.0,0.04489199577982798,0.04489199577982798,0.04489199577982798,0.23209231067674674,0.7679076893232533,1.0,0.06950718430686924,0.06950718430686924,0.7679076893232533,0.0007679076893232533
EWMA,1,2023-12-28,2023-12-29,2024-01-30,EEM,0.1477309438822828,0.0,0.048350446799749834,0.048350446799749834,0.048350446799749834,0.23209231067674674,0.7679076893232533,1.0,0.06950718430686924,0.06950718430686924,0.7679076893232533,0.0007679076893232533
EWMA,1,2023-12-28,2023-12-29,2024-01-30,EFA,0.1247624710119515,0.0,0.05725164855201449,0.05725164855201449,0.05725164855201449,0.23209231067674674,0.7679076893232533,1.0,0.06950718430686924,0.06950718430686924,0.7679076893232533,0.0007679076893232533
EWMA,1,2023-12-28,2023-12-29,2024-01-30,GLD,0.1352235442796929,0.0,0.05282258486054056,0.05282258486054056,0.05282258486054056,0.23209231067674674,0.7679076893232533,1.0,0.06950718430686924,0.06950718430686924,0.7679076893232533,0.0007679076893232533
EWMA,1,2023-12-28,2023-12-29,2024-01-30,HYG,0.0675980374731309,0.0,0.10566663485898256,0.10566663485898256,0.10566663485898256,0.23209231067674674,0.7679076893232533,1.0,0.06950718430686924,0.06950718430686924,0.7679076893232533,0.0007679076893232533
EWMA,1,2023-12-28,2023-12-29,2024-01-30,IWM,0.221717908412948,0.0,0.032215968452821694,0.032215968452821694,0.032215968452821694,0.23209231067674674,0.7679076893232533,1.0,0.06950718430686924,0.06950718430686924,0.7679076893232533,0.0007679076893232533
EWMA,1,2023-12-28,2023-12-29,2024-01-30,LQD,0.1004714215930804,0.0,0.07109342168747695,0.07109342168747695,0.07109342168747695,0.23209231067674674,0.7679076893232533,1.0,0.06950718430686924,0.06950718430686924,0.7679076893232533,0.0007679076893232533
EWMA,1,2023-12-28,2023-12-29,2024-01-30,QQQ,0.1426746643181462,0.0,0.05006394917411186,0.05006394917411186,0.05006394917411186,0.23209231067674674,0.7679076893232533,1.0,0.06950718430686924,0.06950718430686924,0.7679076893232533,0.0007679076893232533
EWMA,1,2023-12-28,2023-12-29,2024-01-30,SPY,0.1115536273914622,0.0,0.06403070263050742,0.06403070263050742,0.06403070263050742,0.23209231067674674,0.7679076893232533,1.0,0.06950718430686924,0.06950718430686924,0.7679076893232533,0.0007679076893232533
EWMA,1,2023-12-28,2023-12-29,2024-01-30,TLT,0.195016074614715,0.0,0.036627017321361754,0.036627017321361754,0.036627017321361754,0.23209231067674674,0.7679076893232533,1.0,0.06950718430686924,0.06950718430686924,0.7679076893232533,0.0007679076893232533
EWMA,1,2023-12-28,2023-12-29,2024-01-30,XLE,0.1894431665623572,0.0,0.037704485585158314,0.037704485585158314,0.037704485585158314,0.23209231067674674,0.7679076893232533,1.0,0.06950718430686924,0.06950718430686924,0.7679076893232533,0.0007679076893232533
EWMA,1,2023-12-28,2023-12-29,2024-01-30,XLF,0.129164662597139,0.0,0.05530039717701672,0.05530039717701672,0.05530039717701672,0.23209231067674674,0.7679076893232533,1.0,0.06950718430686924,0.06950718430686924,0.7679076893232533,0.0007679076893232533
