model,target_vol,mean_realized_vol_21d,median_realized_vol_21d,min_realized_vol_21d,max_realized_vol_21d,mean_abs_deviation_from_target,rmse_vs_target_vol,pct_days_within_8_to_12_pct_band,mean_ex_ante_portfolio_vol
EWMA,0.1,0.0644400471261595,0.06231989700435698,0.022223151566672972,0.17748200754165816,0.04203253054328172,0.04561950959288198,0.07724425887265135,0.06180945042844559
XGBOOST,0.1,0.0582619467722473,0.05592641211868608,0.025970464859394603,0.13345000226294035,0.044049621479667365,0.046911416930324204,0.07933194154488518,0.05880008274862765
BASELINE_MLP,0.1,0.06405885357239516,0.05190462475996039,0.020501795452817752,0.18013001715758037,0.04685413048470323,0.050663083451545174,0.12734864300626306,0.06011761995171962
BASELINE_LSTM,0.1,0.07723911272530677,0.06889065892685382,0.027287242539097943,0.2371344164004424,0.03729596526251414,0.04624803380521012,0.3173277661795407,0.07412225803925888
CAUSAL_XGBOOST,0.1,0.05816040034645606,0.056516043677780715,0.026209482069841507,0.12950753274065835,0.04382548579699087,0.04618054902829279,0.05845511482254697,0.05937304864550353
CAUSAL_MLP,0.1,0.060467481147041965,0.05252847534979267,0.011271154792575124,0.18439459090650803,0.04739464911536146,0.052532266771100816,0.18162839248434237,0.05484312770505572
CAUSAL_LSTM,0.1,0.07494152449010956,0.07024228493660853,0.034512356882341666,0.2056650455056368,0.03409465419124742,0.04031638067716983,0.27139874739039666,0.07256905902692601
