series_type,ticker,lag,lb_stat,lb_pvalue,reject_no_autocorr_at_5pct
returns_log,SPY,10,225.34798632658567,8.108560030416094e-43,True
returns_log,SPY,20,271.1617168377651,5.992309067419786e-46,True
returns_squared,SPY,10,2589.604151156932,0.0,True
returns_squared,SPY,20,3007.2875622619817,0.0,True
returns_log,QQQ,10,146.51070251181974,1.9444012797955987e-26,True
returns_log,QQQ,20,173.52172393871746,1.7878154221693865e-26,True
returns_squared,QQQ,10,1523.5336314605918,0.0,True
returns_squared,QQQ,20,1805.609115663679,0.0,True
returns_log,IWM,10,98.19972789254443,1.248533121702969e-16,True
returns_log,IWM,20,123.85009596156296,5.4979001531143084e-17,True
returns_squared,IWM,10,1821.5185075118022,0.0,True
returns_squared,IWM,20,2284.959794412756,0.0,True
returns_log,EFA,10,131.46952491342822,2.3417968026570147e-23,True
returns_log,EFA,20,158.53908677256885,1.4369491906447542e-23,True
returns_squared,EFA,10,1605.7134429146638,0.0,True
returns_squared,EFA,20,1781.5931334996887,0.0,True
returns_log,EEM,10,97.68707707876757,1.5805970869905662e-16,True
returns_log,EEM,20,116.9308261130149,1.052435309894962e-15,True
returns_squared,EEM,10,1990.432972869283,0.0,True
returns_squared,EEM,20,2141.863103421852,0.0,True
returns_log,XLK,10,177.51479738342704,7.683330069261685e-33,True
returns_log,XLK,20,214.2938536110103,1.6384814494511597e-34,True
returns_squared,XLK,10,1632.2649168433497,0.0,True
returns_squared,XLK,20,1917.3071576795905,0.0,True
returns_log,XLF,10,203.12297730957386,3.600665950850667e-38,True
returns_log,XLF,20,251.8849122137383,4.759836253333016e-42,True
returns_squared,XLF,10,3063.852534092846,0.0,True
returns_squared,XLF,20,3550.4170061664026,0.0,True
returns_log,XLE,10,76.22971977714452,2.7405759997161693e-12,True
returns_log,XLE,20,108.6275073335594,3.4924852989756365e-14,True
returns_squared,XLE,10,1447.4806505297224,5.547455680564965e-305,True
returns_squared,XLE,20,1821.175659507852,0.0,True
returns_log,XLV,10,193.82134778411816,3.130498364727284e-36,True
returns_log,XLV,20,248.50641326915238,2.2850157446575418e-41,True
returns_squared,XLV,10,3424.4860127744587,0.0,True
returns_squared,XLV,20,4060.0713151938007,0.0,True
returns_log,TLT,10,41.4663840577815,9.328361704073456e-06,True
returns_log,TLT,20,52.06709520658051,0.00011132207891577496,True
returns_squared,TLT,10,2164.157029770152,0.0,True
returns_squared,TLT,20,2236.1491138895767,0.0,True
returns_log,LQD,10,69.61070696024478,5.271244495626882e-11,True
returns_log,LQD,20,93.23831966101041,2.0018826224200927e-11,True
returns_squared,LQD,10,2899.135138071441,0.0,True
returns_squared,LQD,20,3156.1959325657854,0.0,True
returns_log,HYG,10,149.63203244632749,4.43721805758988e-27,True
returns_log,HYG,20,220.93466893019095,7.771843986168372e-36,True
returns_squared,HYG,10,2217.499486911574,0.0,True
returns_squared,HYG,20,3194.9871166601597,0.0,True
returns_log,GLD,10,5.974872004082436,0.8173699509016443,False
returns_log,GLD,20,21.385073464615154,0.37478722295914807,False
returns_squared,GLD,10,287.9443204336215,5.479457781721209e-56,True
returns_squared,GLD,20,383.67448332537634,4.937765412455304e-69,True
returns_log,DBC,10,8.802176642745529,0.550975148449592,False
returns_log,DBC,20,18.047999473831478,0.5842461773176608,False
returns_squared,DBC,10,444.2493099230676,3.519813991170736e-89,True
returns_squared,DBC,20,498.4899686248096,6.026406825376619e-93,True
